Date,Closing_Price
2022-11-01,39.77
2022-11-02,38.03
2022-11-03,38.4
2022-11-04,37.25
2022-11-07,38.07
2022-11-08,37.84
2022-11-09,37.57
2022-11-10,39.19
2022-11-11,38.25
2022-11-14,38.26
2022-11-15,38.26
2022-11-16,38.69
2022-11-17,39.01
2022-11-18,38.96
2022-11-21,38.96
2022-11-22,39.27
2022-11-23,39.52
2022-11-25,39.44
2022-11-28,39.36
2022-11-29,39.56
2022-11-30,39.93
2022-12-01,39.71
2022-12-02,39.34
2022-12-05,38.34
2022-12-06,38.18
2022-12-07,37.99
2022-12-08,38.03
2022-12-09,38.52
2022-12-12,38.77
2022-12-13,38.65
2022-12-14,38.38
2022-12-15,38.07
2022-12-16,37.48
2022-12-19,36.61
2022-12-20,36.88
2022-12-21,37.11
2022-12-22,36.96
2022-12-23,38.27
2022-12-27,38.09
2022-12-28,38.33
2022-12-29,38.81
2022-12-30,39.63
2023-01-03,39.62
2023-01-04,40.2
2023-01-05,40.43
2023-01-06,41.14
2023-01-09,41.32
2023-01-10,40.72
2023-01-11,40.68
2023-01-12,40.41
2023-01-13,40.17
2023-01-17,40.33
2023-01-18,40.35
2023-01-19,40.13
2023-01-20,40.06
2023-01-23,39.55
2023-01-24,39.69
2023-01-25,39.8
2023-01-26,40.24
2023-01-27,40.39
2023-01-30,39.75
2023-01-31,40.2
2023-02-01,40.21
2023-02-02,41.7
2023-02-03,42.25
2023-02-06,42.2
2023-02-07,42.3
2023-02-08,41.58
2023-02-09,41.7
2023-02-10,41.66
2023-02-13,41.85
2023-02-14,41.56
2023-02-15,41.44
2023-02-16,43.13
2023-02-17,43.09
2023-02-21,42.99
2023-02-22,44.09
2023-02-23,44.44
2023-02-24,44.38
2023-02-27,44.04
2023-02-28,44.02
2023-03-01,44.57
2023-03-02,44.95
2023-03-03,45.22
2023-03-06,44.85
2023-03-07,44.59
2023-03-08,45.34
2023-03-09,45.01
2023-03-10,44.29
2023-03-13,43.19
2023-03-14,44.01
2023-03-15,43.17
2023-03-16,43.24
2023-03-17,42.25
2023-03-20,42.32
2023-03-21,43.23
2023-03-22,42.66
2023-03-23,42.21
